Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-08-11,11:00,Série A,Matchweek 22,Sun,Home,W,3,2,Botafogo (RJ),1.7,1.8,37,,Jadson,4-4-2,4-2-3-1,Flavio Rodrigues de Souza,Match Report,
2024-08-14,19:30,Série A,Matchweek 6,Wed,Away,L,1,2,Internacional,0.7,3.3,51,,Alan Ruschel,4-4-2,4-2-3-1,Gustavo Ervino Bauermann,Match Report,
2024-08-18,18:30,Série A,Matchweek 23,Sun,Away,W,2,1,Ath Paranaense,1.1,1.5,40,,Alan Ruschel,4-2-3-1,4-3-3,João Vitor Gobi,Match Report,
2024-08-24,16:00,Série A,Matchweek 24,Sat,Away,L,1,2,Atl Goianiense,0.6,2.5,60,,Alan Ruschel,4-2-3-1,4-2-3-1,Bruno Pereira Vasconcelos,Match Report,
2024-09-01,18:30,Série A,Matchweek 25,Sun,Home,,,,Internacional,,,,,,,,,Head-to-Head,
2024-09-05,19:00,Série A,Matchweek 16,Thu,Away,,,,Cuiabá,,,,,,,,,Head-to-Head,
2024-09-15,,Série A,Matchweek 26,Sun,Home,,,,Fluminense,,,,,,,,,Head-to-Head,
2024-09-22,,Série A,Matchweek 27,Sun,Away,,,,Vitória,,,,,,,,,Head-to-Head,
2024-09-29,,Série A,Matchweek 28,Sun,Home,,,,Red Bull Bragantino,,,,,,,,,Head-to-Head,
2024-10-05,,Série A,Matchweek 29,Sat,Away,,,,Vasco da Gama,,,,,,,,,Head-to-Head,
2024-10-20,,Série A,Matchweek 30,Sun,Home,,,,Palmeiras,,,,,,,,,Head-to-Head,
2024-10-26,,Série A,Matchweek 31,Sat,Away,,,,Flamengo,,,,,,,,,Head-to-Head,
2024-11-06,,Série A,Matchweek 32,Wed,Home,,,,Fortaleza,,,,,,,,,Head-to-Head,
2024-11-13,,Série A,Matchweek 33,Wed,Home,,,,Bahia,,,,,,,,,Head-to-Head,
2024-11-20,,Série A,Matchweek 34,Wed,Away,,,,Grêmio,,,,,,,,,Head-to-Head,
2024-11-24,,Série A,Matchweek 35,Sun,Home,,,,Cuiabá,,,,,,,,,Head-to-Head,
2024-12-01,,Série A,Matchweek 36,Sun,Away,,,,Atlético Mineiro,,,,,,,,,Head-to-Head,
2024-12-04,,Série A,Matchweek 37,Wed,Away,,,,São Paulo,,,,,,,,,Head-to-Head,
2024-12-08,,Série A,Matchweek 38,Sun,Home,,,,Cruzeiro,,,,,,,,,Head-to-Head,
