Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Matheus Araújo,brBRA,MF,22-120,4,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Arthur,brBRA,FW,21-191,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
André Carrillo,pePER,"MF,FW",33-097,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Biro,brBRA,"MF,DF",20-152,3,0,16,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,3,0.00,0.00,0.00,0.00,0.00,0.51,0.00,0.51,0.51,0.51,Matches
Kayke,brBRA,"MF,FW",20-144,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,5,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
João Pedro,brBRA,DF,20-263,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Felipe Longo,brBRA,GK,19-198,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Diego Palacios,ecECU,DF,25-069,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Renato Santos,brBRA,DF,19-344,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Guilherme Silva,brBRA,FW,17-226,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.6,26,286,"2,340",26.0,23,16,39,21,2,3,76,4,28.4,26.0,19.9,45.9,394,973,966,0.88,0.62,1.50,0.81,1.42,1.09,0.76,1.86,1.00,1.77,
Opponent Total,,,28.7,26,286,"2,340",26.0,31,20,51,26,5,6,85,8,31.9,27.2,21.9,49.1,411,902,896,1.19,0.77,1.96,1.00,1.77,1.23,0.84,2.07,1.05,1.89,
